13-Al-27(n,elastic) ENDF/B-VII.1
598323.0,6.06082
598394.0,6.0883
598548.0,5.97372
599322.0,4.41689
599787.0,3.82062
600406.0,3.35189
601335.0,2.95562
602534.0,2.66272
602651.0,2.65542
602770.0,2.72245
602803.0,2.8318
602832.0,3.10598
602856.0,3.53635
602891.0,4.28447
602910.0,4.44485
602927.0,4.31108
602981.0,3.17842
602998.0,2.94894
603020.0,2.77455
603066.0,2.6403
603250.0,2.53199
605017.0,2.25949
607064.0,2.06932
608428.0,2.02514
609930.0,2.09852
611294.0,2.3173
612795.0,2.74009
616071.0,3.87696
617981.0,4.27105
620438.0,4.41319
626169.0,4.14456
634131.0,3.76415
636456.0,3.73339
639813.0,3.85161
642138.0,4.16819
644204.0,4.7455
647396.0,5.89374
650750.0,6.37732
652183.0,6.85154
652756.0,6.64972
654073.0,5.6218
654253.0,5.56407
654410.0,5.67586
654473.0,5.89416
654600.0,6.88569
654610.0,6.89861
654660.0,6.61216
654731.0,5.99948
654795.0,5.78947
654816.0,5.78139
654913.0,6.04982
655021.0,6.97401
655074.0,7.31511
655084.0,7.32605
655138.0,7.04846
655252.0,5.88789
655305.0,5.55356
655433.0,5.13659
655690.0,4.83707
656680.0,4.4588
659264.0,4.01127
664084.0,3.59948
673081.0,3.22528
688218.0,2.91534
695315.0,2.85696
698778.0,2.90563
698839.0,3.01448
698916.0,3.42371
698925.0,3.4316
698959.0,3.32055
699014.0,3.05453
699079.0,2.95618
699404.0,2.91954
702063.0,3.06792
703651.0,3.32402
704462.0,3.61278
704948.0,3.94166
705354.0,4.4388
705649.0,5.05752
706187.0,6.77409
706353.0,6.99256
706536.0,6.71759
707032.0,5.0805
707332.0,4.47184
707728.0,4.06347
708408.0,3.78308
711912.0,3.13661
713151.0,2.75623
714127.0,2.32113
714263.0,2.29735
714471.0,2.36346
714612.0,2.5156
714864.0,2.99217
715151.0,3.53429
715311.0,3.70865
715631.0,3.81966
718249.0,3.34935
724297.0,2.87439
724651.0,2.95916
724845.0,3.17753
725171.0,3.7662
725291.0,3.82845
726192.0,3.3978
727396.0,3.20819
730963.0,3.09448
734264.0,3.07989
747138.0,3.23216
752584.0,3.45284
755225.0,3.76387
757437.0,4.32027
758955.0,4.68929
759351.0,4.7113
760598.0,4.51034
763230.0,3.82006
765216.0,3.57215
765269.0,3.57111
765746.0,3.62635
765978.0,3.81907
766086.0,4.08191
766159.0,4.41658
766300.0,5.36567
766338.0,5.45428
766395.0,5.27168
766522.0,4.3908
766620.0,3.97414
766748.0,3.72142
767024.0,3.5318
767949.0,3.41518
768538.0,3.40376
770556.0,3.51637
772036.0,3.81525
774828.0,4.84126
776173.0,4.9973
776341.0,4.99799
777417.0,4.98569
779160.0,5.14744
780501.0,5.62694
782745.0,6.97752
785104.0,7.65556
786229.0,7.76336
788406.0,7.43115
793013.0,6.25714
798831.0,5.44853
818529.0,3.54184
818983.0,3.53036
819928.0,3.60439
820217.0,3.70444
820425.0,3.93011
820517.0,4.20614
820603.0,4.73196
820694.0,5.42001
820725.0,5.49287
820765.0,5.3835
820895.0,4.48621
820993.0,4.14005
821111.0,3.98081
821366.0,3.91245
824258.0,4.53656
826129.0,4.64649
840842.0,3.99318
842968.0,3.96599
844906.0,4.02871
845000.0,3.97786
848000.0,4.28703
849000.0,4.6418
850250.0,5.47178
851000.0,5.97774
851500.0,6.02679
852625.0,5.3414
853000.0,5.07457
854000.0,4.61656
855000.0,4.4211
856000.0,4.40094
857500.0,4.70103
859000.0,5.17102
859750.0,5.05728
861500.0,4.39328
862500.0,4.17978
864000.0,4.0801
865000.0,4.27651
866125.0,3.96023
869000.0,3.85229
870000.0,3.8511
872000.0,3.9463
875000.0,4.32462
877000.0,4.56922
878875.0,4.36299
882000.0,3.80353
885000.0,3.51752
892500.0,3.19672
906500.0,2.83584
910000.0,2.64162
913000.0,2.33596
914500.0,2.17592
915000.0,2.14076
915750.0,2.17446
916500.0,2.30723
918500.0,2.96546
919000.0,3.10224
920000.0,3.1738
924000.0,2.77246
925000.0,2.76758
926000.0,2.82276
927000.0,2.96858
928250.0,3.3184
929250.0,3.76954
930250.0,4.27467
930500.0,4.35478
931000.0,4.32817
933000.0,3.34156
934000.0,3.01325
936500.0,2.50839
937500.0,2.39153
938000.0,2.3549
939000.0,2.39813
943000.0,2.99102
944000.0,3.11131
946000.0,3.1968
959500.0,2.886
964000.0,2.81066
968000.0,2.86942
969250.0,3.05194
969750.0,3.24476
970700.0,3.82928
970800.0,3.85475
971100.0,3.78167
972000.0,3.21814
972750.0,3.01566
974000.0,2.93038
976500.0,3.10246
979500.0,3.5132
980000.0,3.54367
981500.0,3.35347
984000.0,2.87648
986000.0,2.65636
990000.0,2.45232
995000.0,2.32646
1000000.0,2.31879
1005000.0,2.47405
1011500.0,2.97067
1018000.0,3.51829
1020000.0,3.57271
1024000.0,3.46969
1026000.0,3.55838
1026750.0,3.47612
1028500.0,3.09214
1030500.0,2.88178
1035000.0,2.48398
1036000.0,2.41344
1037880.0,2.44804
1039000.0,2.58991
1040500.0,2.9725
1042500.0,3.55314
1043500.0,3.71397
1044000.0,3.7549
1046000.0,3.58469
1049000.0,3.27049
1071250.0,2.22732
1075000.0,2.0608
1080000.0,1.94046
1082000.0,1.98923
1084000.0,2.16861
1087000.0,2.65342
1090000.0,3.20287
1092000.0,3.46022
1094000.0,3.48998
1100000.0,3.02471
1102000.0,2.94945
1105000.0,3.01145
1115000.0,3.42513
1120000.0,3.48843
1140000.0,3.4366
1146000.0,3.55116
1148250.0,3.71892
1149000.0,3.87611
1149620.0,4.19439
1150300.0,4.7555
1150400.0,4.79397
1150700.0,4.67987
1151250.0,4.29911
1151750.0,4.11072
1153000.0,4.04669
1157500.0,4.50541
1164000.0,5.17771
1166000.0,5.22506
1169000.0,5.04917
1176000.0,4.34981
1178000.0,4.31233
1179500.0,4.36382
1180000.0,4.36135
1183000.0,3.84662
1185000.0,3.62207
1192000.0,3.29319
1195000.0,3.62459
1196500.0,3.4527
1198000.0,3.25371
1200000.0,3.14273
1210000.0,2.96565
1225000.0,2.98358
1230000.0,2.95438
1236000.0,3.1039
1238000.0,3.19868
1240250.0,3.17483
1246000.0,2.81402
1248000.0,2.71501
1250250.0,2.8601
1251500.0,3.10294
1253500.0,3.60928
1254000.0,3.69372
1255500.0,3.50363
1257000.0,3.27602
1258000.0,3.24238
1259500.0,3.34632
1262000.0,3.63862
1263000.0,3.66102
1265250.0,3.38018
1268000.0,3.0186
1270000.0,2.88279
1276500.0,2.76874
1279000.0,2.71441
1284000.0,2.38649
1285500.0,2.42878
1287500.0,2.66613
1290000.0,3.15311
1291000.0,3.10168
1292000.0,2.93665
1295000.0,2.72944
1305000.0,2.47538
1310000.0,2.37031
1316000.0,2.45022
1320000.0,2.63937
1322500.0,2.59797
1325000.0,2.44938
1330000.0,2.29073
1335000.0,2.26807
1339500.0,2.36596
1341500.0,2.4924
1342000.0,2.54392
1343750.0,2.98966
1344000.0,3.01935
1344750.0,2.92183
1346000.0,2.59559
1348000.0,2.26361
1349000.0,2.17841
1350000.0,2.16514
1351500.0,2.28662
1354000.0,2.5898
1355000.0,2.73371
1356000.0,2.76844
1359000.0,2.37466
1360000.0,2.2663
1364000.0,2.0548
1366000.0,2.04418
1369000.0,2.17714
1375000.0,2.82835
1380000.0,3.00902
1381000.0,2.96378
1387000.0,3.06305
1392500.0,3.36566
1395000.0,3.53782
1396000.0,3.74328
1397000.0,3.80071
1401000.0,3.59724
1404500.0,3.18022
1408000.0,2.90157
1412000.0,2.69176
1416000.0,2.57445
1418000.0,2.53772
1424000.0,2.58691
1427000.0,2.76252
1432000.0,3.4842
1435000.0,3.91271
1436000.0,4.01787
1438000.0,3.99458
1444000.0,3.26182
1446000.0,3.13584
1448000.0,3.17547
1450000.0,3.49547
1451000.0,3.54445
1453250.0,3.04522
1454000.0,2.92223
1456000.0,2.75501
1460000.0,2.64606
1475000.0,2.59858
1480000.0,2.56017
1502500.0,2.63781
1510000.0,2.69943
1520000.0,2.93947
1528000.0,3.04832
1532000.0,3.28892
1538000.0,3.91378
1540000.0,3.96615
1542000.0,3.82948
1549000.0,2.84106
1552000.0,2.53455
1554000.0,2.4254
1556000.0,2.40618
1558250.0,2.48857
1559000.0,2.56525
1559500.0,2.83591
1559900.0,3.09527
1560000.0,3.10987
1560300.0,2.96712
1560600.0,2.75436
1561000.0,2.58391
1561750.0,2.47392
1563000.0,2.45826
1566000.0,2.51213
1575000.0,2.85359
1580000.0,2.78957
1588000.0,2.54253
1593000.0,2.45739
1595000.0,2.44384
1598000.0,2.51925
1599000.0,2.61281
1601500.0,3.09079
1602500.0,3.18616
1603000.0,3.20659
1604000.0,3.18164
1605000.0,3.05651
1615000.0,2.55955
1620000.0,2.33564
1624000.0,2.28802
1625120.0,2.36646
1628000.0,2.78015
1629000.0,2.78697
1632000.0,2.40586
1634000.0,2.30235
1637000.0,2.48467
1638500.0,2.38502
1640000.0,2.21099
1643000.0,2.10194
1648000.0,2.06142
1654000.0,2.13588
1662500.0,2.46693
1666000.0,2.65579
1670000.0,2.69506
1676000.0,2.42368
1679000.0,2.49205
1682000.0,2.63413
1700000.0,2.86786
1708000.0,3.06309
1724000.0,3.12609
1728500.0,3.04517
1730750.0,2.89563
1734250.0,2.44018
1734500.0,2.42914
1735500.0,2.50598
1740000.0,3.44294
1743500.0,4.04199
1744000.0,4.08854
1745500.0,4.03373
1750000.0,3.50052
1753000.0,3.15454
1758000.0,2.84234
1765500.0,2.60884
1777000.0,2.33117
1778000.0,2.32044
1784000.0,2.36277
1800000.0,2.17335
1838500.0,1.86557
1846000.0,1.66456
1847500.0,1.6951
1849000.0,1.82279
1850810.0,2.11498
1854500.0,2.84956
1855500.0,2.96896
1856500.0,2.99097
1858190.0,2.82158
1861750.0,2.34308
1864000.0,2.10735
1866000.0,2.01029
1873000.0,2.06992
1883000.0,2.2903
1887000.0,2.43065
1892000.0,2.62091
1896910.0,3.03859
1900000.0,3.16441
1902000.0,3.1414
1909000.0,2.67435
1914000.0,2.58648
1921500.0,2.61802
1932000.0,2.7542
1938000.0,3.05332
1948000.0,3.19443
1952000.0,3.262
1955000.0,3.13917
1962000.0,2.57695
1974000.0,2.02996
1974750.0,2.02933
1978500.0,2.08794
1983000.0,2.24365
1992000.0,2.87251
1996000.0,2.95725
2000000.0,2.89218
2004000.0,3.1085
2008000.0,3.42406
2010000.0,3.4908
2020000.0,3.26277
2027000.0,3.11668
2034000.0,2.8757
2037000.0,2.69405
2038000.0,2.66034
2042000.0,2.83642
2048000.0,3.40041
2048500.0,3.42032
2050000.0,3.33449
2057500.0,2.39678
2061000.0,2.01124
2062500.0,1.9517
2064380.0,2.06786
2068500.0,2.50817
2071500.0,2.72133
2076000.0,2.90359
2085000.0,3.14142
2088000.0,3.23126
2095500.0,3.09879
2106000.0,2.7802
2108000.0,2.7782
2112000.0,2.55782
2116000.0,2.53002
2128000.0,2.65588
2136000.0,2.57264
2138000.0,2.58003
2140000.0,2.49763
2146000.0,2.64263
2162000.0,3.16392
2165000.0,3.26788
2166000.0,3.32899
2172000.0,2.95765
2182000.0,2.97285
2186000.0,2.8071
2192000.0,2.56223
2194000.0,2.54708
2198000.0,2.65613
2204000.0,3.0484
2206000.0,3.10551
2209000.0,3.0503
2216000.0,2.62533
2218000.0,2.60688
2224000.0,2.71142
2228000.0,2.67648
2232000.0,2.55459
2236000.0,2.52151
2241000.0,2.61789
2246000.0,2.83695
2250000.0,2.88096
2258000.0,2.69788
2266000.0,2.69499
2276000.0,2.8367
2284000.0,2.77305
2288000.0,2.71736
2310000.0,2.90741
2314000.0,2.78019
2322000.0,2.34359
2327000.0,2.22925
2330000.0,2.26946
2338000.0,2.65845
2340000.0,2.70312
2344500.0,2.66456
2346000.0,2.58851
2347000.0,2.58653
2352000.0,2.71547
2354000.0,2.70591
2357000.0,2.50442
2363000.0,2.05775
2366000.0,1.94743
2374000.0,1.87178
2380000.0,1.75978
2384000.0,1.74538
2388000.0,1.79902
2393500.0,2.00237
2400000.0,2.28594
2404000.0,2.3567
2406000.0,2.36919
2412000.0,2.34423
2419000.0,2.45254
2422000.0,2.50251
2425000.0,2.36337
2433000.0,1.95049
2448000.0,1.67882
2454000.0,1.64064
2459000.0,1.72827
2466000.0,1.97983
2484000.0,2.93358
2502000.0,3.58467
2506000.0,3.6246
2516000.0,3.36959
2526000.0,3.39897
2530000.0,3.27402
2536000.0,2.88415
2543000.0,2.64227
2548000.0,2.54048
2551000.0,2.59208
2555000.0,2.81149
2563000.0,3.54379
2566000.0,3.67395
2572000.0,3.60463
2592500.0,2.96246
2605000.0,2.48961
2610000.0,2.37236
2615000.0,2.33295
2630000.0,2.504
2640000.0,2.46209
2647500.0,2.54565
2657500.0,2.77941
2660000.0,2.81029
2665000.0,2.71096
2671250.0,2.37039
2675000.0,2.1101
2680000.0,1.93382
2685620.0,1.96083
2695000.0,2.22205
2700000.0,2.25977
2705000.0,2.21234
2725000.0,2.33592
2740000.0,2.16984
2755000.0,2.31591
2765000.0,2.28986
2771250.0,2.53953
2780000.0,3.05645
2785000.0,3.10054
2792500.0,2.84625
2807500.0,2.16843
2810000.0,2.07603
2845000.0,1.68927
2855000.0,1.65794
2860000.0,1.68572
2867500.0,1.91502
2870000.0,2.00414
2875000.0,2.09428
2880000.0,2.06673
2887500.0,1.90925
2890000.0,1.87297
2895000.0,1.97687
2905000.0,2.37388
2910000.0,2.39823
2916280.0,2.2072
2920000.0,2.02928
2925000.0,1.8839
2930000.0,1.87674
2935000.0,1.92933
2942500.0,1.89665
2950000.0,1.78824
2957500.0,1.85283
2965000.0,1.98118
2970000.0,2.00665
2980000.0,1.99088
3002500.0,2.32178
3010000.0,2.35268
3015000.0,2.30639
3025000.0,1.92695
3030000.0,1.8021
3047500.0,1.65906
3052500.0,1.61971
3055000.0,1.61381
3070000.0,1.8902
3090000.0,1.99113
3100000.0,2.04445
3110000.0,1.96654
3120000.0,1.79731
3125000.0,1.77757
3130000.0,1.86338
3140000.0,2.14639
3145000.0,2.18292
3150000.0,2.0571
3157500.0,1.69094
3160000.0,1.58447
3165000.0,1.45463
3170000.0,1.43356
3175620.0,1.52783
3187500.0,1.84897
3205000.0,2.09268
3210000.0,2.09856
3217500.0,1.97074
3225000.0,1.7695
3230000.0,1.71437
3237500.0,1.75001
3262500.0,2.09596
3265000.0,2.11165
3270000.0,2.09538
3285000.0,1.74731
3290000.0,1.70715
3300000.0,1.72135
3310000.0,1.62401
3320000.0,1.63293
3350000.0,1.86225
3355000.0,1.84876
3365000.0,1.88984
3382500.0,2.13745
3385000.0,2.15705
3392500.0,2.10191
3410000.0,1.76851
3425000.0,1.5945
3435000.0,1.57851
3457500.0,1.74193
3465000.0,1.7669
3480000.0,1.74403
3485000.0,1.74424
3500000.0,1.81469
3510000.0,1.74072
3522500.0,1.54837
3530000.0,1.5204
3548750.0,1.69245
3560000.0,1.79281
3577500.0,2.1113
3585000.0,2.1501
3590000.0,2.15527
3600000.0,2.05407
3610000.0,2.05703
3620000.0,2.13045
3630000.0,2.03854
3645000.0,1.68074
3650000.0,1.60333
3672500.0,1.43003
3675000.0,1.42107
3685000.0,1.48714
3707500.0,1.8703
3715000.0,1.92485
3722500.0,1.88242
