74-W-183(n,elastic) ENDF/B-VII.1
297.172,14.0257
297.288,12.3151
297.462,10.8667
297.672,9.88385
297.978,9.03335
298.405,8.31711
299.228,7.5446
300.448,6.92818
302.766,6.27722
313.616,4.41618
316.19,3.73842
317.642,3.16446
318.896,2.46073
319.688,1.95666
319.991,1.85797
320.021,1.85797
320.172,1.9081
320.306,2.06518
320.407,2.31047
320.491,2.6621
320.558,3.10214
320.617,3.66788
320.675,4.4875
320.729,5.555
320.775,6.83169
320.821,8.5564
320.867,10.8795
320.913,13.9904
320.96,18.1207
321.008,23.8391
321.056,31.3318
321.107,41.4771
321.16,55.0451
321.219,74.4739
321.289,103.195
321.378,149.473
321.62,296.992
321.719,340.631
321.813,358.281
321.83,358.628
321.914,347.544
321.998,317.926
322.152,234.788
322.295,155.164
322.381,116.268
322.46,88.1584
322.526,70.2084
322.599,55.3942
322.668,45.114
322.737,37.6747
322.816,31.6536
322.905,26.9929
323.021,22.968
323.153,19.9253
323.351,16.942
323.604,14.5039
323.934,12.4707
324.352,10.8347
324.968,9.35142
325.672,8.30365
326.552,7.45919
328.048,6.56402
330.468,5.67587
334.55,4.50331
335.39,4.14966
336.055,3.76556
336.204,3.89531
336.291,4.18326
336.379,4.74201
336.466,5.66839
336.545,6.8686
336.65,8.98313
336.878,14.16
336.99,15.7574
337.066,16.0924
337.173,15.4916
337.311,13.3194
337.534,9.09092
337.65,7.45235
337.766,6.36182
337.875,5.71765
338.05,5.15732
338.365,4.71186
339.03,4.25401
342.969,2.50363
344.094,1.97245
344.558,1.84585
344.712,1.8435
344.98,1.93164
345.138,2.07214
345.296,2.31984
345.428,2.64969
345.56,3.15018
345.667,3.74821
345.759,4.45586
345.85,5.43553
345.933,6.67753
346.003,8.12478
346.074,10.1129
346.141,12.7748
346.198,15.8098
346.254,19.8906
346.31,25.404
346.366,32.8529
346.422,42.8673
346.479,56.2008
346.532,72.7169
346.591,96.2728
346.653,127.948
346.723,173.69
346.805,240.191
346.926,361.04
347.109,551.689
347.21,626.728
347.305,657.728
347.327,658.682
347.416,638.23
347.519,571.98
347.73,367.795
347.857,252.89
347.945,189.218
348.021,146.766
348.097,114.486
348.169,91.7912
348.248,73.6536
348.327,60.7401
348.425,49.5961
348.538,41.1342
348.678,34.1976
348.847,28.727
349.072,23.9295
349.318,20.4245
349.663,17.1537
350.084,14.5504
350.647,12.3184
351.352,10.5228
352.202,9.03846
352.655,8.74064
352.675,8.74057
352.764,8.74208
353.182,8.49939
353.94,7.60826
356.211,6.03473
357.773,4.90358
358.469,4.16679
359.196,3.09836
359.228,3.08222
359.325,3.16157
359.389,3.40021
359.444,3.80302
359.489,4.33534
359.534,5.11289
359.579,6.20765
359.624,7.70239
359.675,9.97529
359.726,13.0037
359.782,17.4091
359.845,23.8272
359.918,33.3113
360.016,49.1257
360.23,87.6986
360.333,101.071
360.432,106.548
360.441,106.629
360.534,103.517
360.637,92.7234
360.923,48.4196
361.021,36.2726
361.098,28.8675
361.171,23.6703
361.243,19.8432
361.33,16.6434
361.417,14.5161
361.533,12.717
361.662,11.4885
361.855,10.3539
362.177,9.22979
362.563,8.40513
363.387,7.39283
364.314,6.73436
366.168,5.92323
372.051,4.08989
373.702,3.34519
374.778,2.65204
375.684,1.9382
375.93,1.81898
375.972,1.81432
376.071,1.83907
376.184,1.97108
376.267,2.19992
376.333,2.52438
376.386,2.92772
376.439,3.52022
376.485,4.25702
376.532,5.2736
376.578,6.66483
376.624,8.55062
376.669,10.9608
376.716,14.3481
376.763,18.7963
376.81,24.5466
376.86,32.3474
376.913,42.8236
376.975,58.5328
377.043,80.1929
377.126,113.074
377.26,177.41
377.419,253.584
377.525,288.711
377.626,301.392
377.633,301.409
377.721,292.261
377.83,259.81
378.132,126.716
378.223,94.4181
378.302,72.2513
378.379,56.0056
378.455,44.0591
378.52,36.5968
378.591,30.6425
378.676,25.6367
378.761,22.2045
378.874,19.1285
379.006,16.7668
379.195,14.5539
379.431,12.7395
379.789,10.9695
380.167,9.7642
380.771,8.52184
381.677,7.3991
383.036,6.40033
385.362,5.32173
387.82,4.2329
388.749,3.59663
389.332,2.99261
389.61,2.66859
389.71,2.62184
389.804,2.71051
389.866,2.90811
389.929,3.29017
389.983,3.8458
390.038,4.68769
390.085,5.70607
390.139,7.33078
390.188,9.22888
390.242,11.9851
390.305,16.1375
390.379,22.4098
390.473,32.3866
390.739,65.3991
390.849,74.6376
390.947,77.6383
391.033,75.827
391.139,68.6411
391.337,47.417
391.469,33.7883
391.566,25.8576
391.649,20.6953
391.729,17.0318
391.816,14.2053
391.92,11.9686
392.024,10.5532
392.163,9.38909
392.398,8.27679
392.732,7.39913
393.314,6.5406
394.008,5.95215
395.173,5.35752
397.56,4.64163
404.042,3.37559
410.321,2.15236
414.266,1.3146
415.103,1.19268
415.452,1.17669
415.818,1.21375
416.016,1.27891
416.213,1.40999
416.341,1.5665
416.428,1.7388
416.515,2.00962
416.588,2.36384
416.646,2.78155
416.704,3.37685
416.762,4.22456
416.812,5.21644
416.864,6.62634
416.917,8.50985
416.969,10.9866
417.021,14.1843
417.082,18.9955
417.15,25.9287
417.223,35.4077
417.321,51.1936
417.577,99.5474
417.693,115.189
417.793,120.454
417.803,120.491
417.898,116.463
418.005,103.412
418.172,72.6362
418.314,46.3365
418.401,33.0374
418.475,24.158
418.542,17.802
418.598,13.6736
418.656,10.37
418.707,8.15846
418.758,6.46136
418.808,5.17465
418.864,4.13691
418.925,3.3132
418.986,2.73138
419.057,2.2597
419.128,1.93388
419.212,1.66522
419.308,1.45215
419.468,1.21631
419.66,1.03729
419.852,0.922665
420.14,0.827304
420.427,0.798082
420.687,0.8185
420.947,0.881011
421.21,0.989041
421.525,1.1847
421.84,1.46717
422.144,1.84648
422.41,2.30662
422.59,2.74627
422.71,3.17308
422.815,3.73956
422.897,4.41887
422.971,5.33288
423.033,6.42035
423.095,7.92165
423.157,9.97059
423.219,12.7171
423.286,16.6636
423.354,21.8173
423.436,29.8888
423.537,42.3924
423.802,80.6698
423.922,93.2144
424.026,97.9303
424.046,98.078
424.162,94.3447
424.307,81.0156
424.532,55.4266
424.634,46.4233
424.735,40.2061
424.832,36.6858
424.929,35.197
424.977,35.072
425.123,36.5661
425.317,41.6974
425.515,49.8902
425.726,62.2998
425.907,76.9902
426.083,96.6241
426.237,120.136
426.376,148.784
426.515,187.968
426.643,237.85
426.749,293.593
426.863,374.731
426.969,475.39
427.075,608.014
427.194,803.723
427.326,1085.15
427.524,1614.82
427.748,2226.47
427.908,2517.32
428.014,2586.88
428.155,2509.25
428.315,2219.48
428.714,1203.73
428.864,903.574
428.987,714.393
429.11,571.266
429.238,461.407
429.37,378.024
429.533,304.33
429.718,245.971
429.904,204.512
430.141,166.572
430.419,135.753
430.75,110.366
431.12,90.6572
431.534,75.1984
432.058,61.6315
432.693,50.5134
433.464,41.4687
434.345,34.5011
435.402,28.8624
436.46,24.9556
437.87,21.3164
439.633,18.2374
442.1,15.3965
444.92,13.2687
449.15,11.1704
456.622,8.47005
457.66,7.9153
457.856,8.09862
457.963,8.56684
458.043,9.28086
458.124,10.4866
458.204,12.3859
458.28,15.0462
458.355,18.6012
458.444,24.1294
458.565,33.9341
458.795,54.5528
458.92,62.3309
459.029,64.6411
459.128,62.6701
459.251,55.6374
459.555,30.5045
459.652,24.0254
459.741,19.4552
459.83,16.1223
459.917,13.8578
460.019,12.1536
460.154,10.878
460.357,10.0049
460.738,9.35388
461.707,8.63164
465.014,7.41973
467.459,6.48227
467.733,6.66565
468.002,7.37861
468.322,8.32744
468.433,8.42374
468.622,8.21563
469.075,7.03803
469.23,6.7643
469.788,6.27605
472.848,4.67981
474.285,3.66881
475.579,2.4922
476.226,1.89378
476.549,1.70212
476.657,1.68111
476.819,1.72058
476.937,1.83017
477.067,2.07051
477.164,2.37426
477.261,2.83754
477.341,3.40265
477.419,4.16665
477.491,5.16344
477.555,6.40035
477.62,8.09619
477.677,10.141
477.735,12.881
477.793,16.5597
477.847,21.211
477.899,26.97
477.951,34.4021
478.002,43.9191
478.063,58.2821
478.123,76.9291
478.184,100.695
478.254,135.926
478.333,186.195
478.424,258.228
478.559,390.271
478.776,615.85
478.894,705.322
479.005,744.098
479.039,745.884
479.15,718.545
479.279,632.212
479.607,323.306
479.714,240.676
479.809,183.732
479.888,147.079
479.978,115.887
480.069,92.6791
480.15,78.0066
480.242,65.8529
480.351,55.8235
480.496,46.8415
480.663,40.1032
480.872,34.4501
481.171,29.1101
481.53,24.9409
481.961,21.6431
482.536,18.7764
483.399,16.1201
484.405,14.2271
486.13,12.3256
488.372,10.9287
491.902,9.53878
492.233,9.71165
492.826,10.5628
492.867,10.5671
493.784,9.56509
496.424,8.80119
497.236,9.12371
499.016,8.57895
508.76,7.30461
509.88,7.0152
510.142,7.24919
510.309,7.82519
510.466,8.86433
510.888,12.9381
511.044,13.6454
511.073,13.6702
511.217,13.2962
511.441,11.558
511.682,9.49835
511.866,8.45174
512.047,7.93705
512.194,7.81592
512.84,8.22701
514.085,7.57245
517.359,7.11258
527.335,6.13813
529.58,5.71663
530.804,5.2468
531.371,4.82316
531.799,4.41065
531.884,4.40792
532.019,4.63435
532.109,5.06113
532.199,5.8316
532.28,6.9125
532.37,8.63136
532.46,10.939
532.593,15.3273
532.854,24.7921
532.989,27.9907
533.097,28.8763
533.194,28.3045
533.324,25.8493
533.684,15.6899
533.819,12.8248
533.954,10.8484
534.082,9.64074
534.273,8.61799
534.503,8.00265
535.016,7.36491
536.208,6.73914
538.66,6.18199
544.533,5.39904
545.95,5.30898
546.996,5.46119
547.557,5.83534
547.941,6.45667
548.198,7.28706
548.36,8.19778
548.495,9.41687
548.613,11.1061
548.714,13.3333
548.799,16.0383
548.885,19.9449
548.968,25.2511
549.052,32.5141
549.135,42.2164
549.222,55.36
549.328,76.0691
