ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 2.000000E+7 eV
  
Cosine Value    Normalized Probability
6.088E-1    1.498E-2
5.736E-1    1.561E-2
5.373E-1    1.604E-2
5.000E-1    1.626E-2
4.617E-1    1.631E-2
4.226E-1    1.624E-2
3.827E-1    1.614E-2
3.420E-1    1.613E-2
3.007E-1    1.637E-2
2.588E-1    1.704E-2
2.164E-1    1.839E-2
1.736E-1    2.066E-2
1.305E-1    2.411E-2
8.716E-2    2.903E-2
4.362E-2    3.566E-2
6.123E-17   4.417E-2
-4.362E-2   5.467E-2
-8.716E-2   6.712E-2
-1.305E-1   8.135E-2
-1.736E-1   9.697E-2
-2.164E-1   1.134E-1
-2.588E-1   1.299E-1
-3.007E-1   1.454E-1
-3.420E-1   1.592E-1
-3.827E-1   1.701E-1
-4.226E-1   1.776E-1
-4.617E-1   1.816E-1
-5.000E-1   1.826E-1
-5.373E-1   1.824E-1
-5.736E-1   1.843E-1
-6.088E-1   1.931E-1
-6.428E-1   2.157E-1
-6.756E-1   2.610E-1
-7.071E-1   3.398E-1
-7.373E-1   4.646E-1
-7.660E-1   6.488E-1
-7.934E-1   9.060E-1
-8.192E-1   1.249E0
-8.434E-1   1.687E0
-8.660E-1   2.226E0
-8.870E-1   2.868E0
-9.063E-1   3.607E0
-9.239E-1   4.428E0
-9.397E-1   5.310E0
-9.537E-1   6.225E0
-9.659E-1   7.137E0
-9.763E-1   8.006E0
-9.848E-1   8.791E0
-9.914E-1   9.451E0
-9.962E-1   9.951E0
-9.990E-1   1.026E1
-1.000E0    1.037E1
ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 3.000000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     8.646E-3
9.990E-1    8.557E-3
9.962E-1    8.298E-3
9.914E-1    7.889E-3
9.848E-1    7.361E-3
9.763E-1    6.757E-3
9.659E-1    6.124E-3
9.537E-1    5.512E-3
9.397E-1    4.971E-3
9.239E-1    4.547E-3
9.063E-1    4.275E-3
8.870E-1    4.185E-3
8.660E-1    4.292E-3
8.434E-1    4.600E-3
8.192E-1    5.103E-3
7.934E-1    5.781E-3
7.660E-1    6.607E-3
7.373E-1    7.545E-3
7.071E-1    8.555E-3
6.756E-1    9.591E-3
6.428E-1    1.061E-2
6.088E-1    1.157E-2
5.736E-1    1.243E-2
5.373E-1    1.315E-2
5.000E-1    1.373E-2
4.617E-1    1.414E-2
4.226E-1    1.440E-2
3.827E-1    1.454E-2
3.420E-1    1.463E-2
3.007E-1    1.475E-2
2.588E-1    1.506E-2
2.164E-1    1.573E-2
1.736E-1    1.698E-2
1.305E-1    1.907E-2
8.716E-2    2.228E-2
4.362E-2    2.691E-2
6.123E-17   3.324E-2
-4.362E-2   4.148E-2
-8.716E-2   5.175E-2
-1.305E-1   6.404E-2
-1.736E-1   7.816E-2
-2.164E-1   9.369E-2
-2.588E-1   1.100E-1
-3.007E-1   1.263E-1
-3.420E-1   1.415E-1
-3.827E-1   1.546E-1
-4.226E-1   1.647E-1
-4.617E-1   1.713E-1
-5.000E-1   1.746E-1
-5.373E-1   1.758E-1
-5.736E-1   1.774E-1
-6.088E-1   1.839E-1
-6.428E-1   2.018E-1
-6.756E-1   2.400E-1
-7.071E-1   3.097E-1
-7.373E-1   4.241E-1
-7.660E-1   5.981E-1
-7.934E-1   8.470E-1
-8.192E-1   1.186E0
-8.434E-1   1.627E0
-8.660E-1   2.179E0
-8.870E-1   2.845E0
-9.063E-1   3.621E0
-9.239E-1   4.493E0
-9.397E-1   5.440E0
-9.537E-1   6.430E0
-9.659E-1   7.424E0
-9.763E-1   8.378E0
-9.848E-1   9.243E0
-9.914E-1   9.974E0
-9.962E-1   1.053E1
-9.990E-1   1.088E1
-1.000E0    1.099E1
ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 3.500000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     6.891E-3
9.990E-1    6.819E-3
9.962E-1    6.605E-3
9.914E-1    6.264E-3
9.848E-1    5.816E-3
9.763E-1    5.289E-3
9.659E-1    4.713E-3
9.537E-1    4.122E-3
9.397E-1    3.548E-3
9.239E-1    3.023E-3
9.063E-1    2.573E-3
8.870E-1    2.220E-3
8.660E-1    1.980E-3
8.434E-1    1.866E-3
8.192E-1    1.883E-3
7.934E-1    2.032E-3
7.660E-1    2.311E-3
7.373E-1    2.715E-3
7.071E-1    3.237E-3
6.756E-1    3.867E-3
6.428E-1    4.592E-3
6.088E-1    5.396E-3
5.736E-1    6.259E-3
5.373E-1    7.157E-3
5.000E-1    8.058E-3
4.617E-1    8.929E-3
4.226E-1    9.733E-3
3.827E-1    1.044E-2
3.420E-1    1.102E-2
3.007E-1    1.146E-2
2.588E-1    1.179E-2
2.164E-1    1.206E-2
1.736E-1    1.236E-2
1.305E-1    1.287E-2
8.716E-2    1.379E-2
4.362E-2    1.541E-2
6.123E-17   1.805E-2
-4.362E-2   2.206E-2
-8.716E-2   2.777E-2
-1.305E-1   3.548E-2
-1.736E-1   4.534E-2
-2.164E-1   5.737E-2
-2.588E-1   7.132E-2
-3.007E-1   8.670E-2
-3.420E-1   1.027E-1
-3.827E-1   1.184E-1
-4.226E-1   1.325E-1
-4.617E-1   1.440E-1
-5.000E-1   1.521E-1
-5.373E-1   1.569E-1
-5.736E-1   1.594E-1
-6.088E-1   1.628E-1
-6.428E-1   1.722E-1
-6.756E-1   1.959E-1
-7.071E-1   2.450E-1
-7.373E-1   3.341E-1
-7.660E-1   4.806E-1
-7.934E-1   7.041E-1
-8.192E-1   1.025E0
-8.434E-1   1.463E0
-8.660E-1   2.033E0
-8.870E-1   2.745E0
-9.063E-1   3.601E0
-9.239E-1   4.590E0
-9.397E-1   5.690E0
-9.537E-1   6.865E0
-9.659E-1   8.065E0
-9.763E-1   9.235E0
-9.848E-1   1.031E1
-9.914E-1   1.123E1
-9.962E-1   1.193E1
-9.990E-1   1.237E1
-1.000E0    1.252E1
ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 4.000000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     4.172E-3
9.990E-1    4.131E-3
9.962E-1    4.011E-3
9.914E-1    3.820E-3
9.848E-1    3.569E-3
9.763E-1    3.274E-3
9.659E-1    2.951E-3
9.537E-1    2.619E-3
9.397E-1    2.294E-3
9.239E-1    1.991E-3
9.063E-1    1.721E-3
8.870E-1    1.494E-3
8.660E-1    1.315E-3
8.434E-1    1.189E-3
8.192E-1    1.117E-3
7.934E-1    1.100E-3
7.660E-1    1.142E-3
7.373E-1    1.246E-3
7.071E-1    1.417E-3
6.756E-1    1.662E-3
6.428E-1    1.991E-3
6.088E-1    2.412E-3
5.736E-1    2.930E-3
5.373E-1    3.547E-3
5.000E-1    4.257E-3
4.617E-1    5.047E-3
4.226E-1    5.891E-3
3.827E-1    6.756E-3
3.420E-1    7.602E-3
3.007E-1    8.383E-3
2.588E-1    9.062E-3
2.164E-1    9.614E-3
1.736E-1    1.004E-2
1.305E-1    1.040E-2
8.716E-2    1.078E-2
4.362E-2    1.134E-2
6.123E-17   1.233E-2
-4.362E-2   1.405E-2
-8.716E-2   1.686E-2
-1.305E-1   2.115E-2
-1.736E-1   2.726E-2
-2.164E-1   3.548E-2
-2.588E-1   4.593E-2
-3.007E-1   5.850E-2
-3.420E-1   7.280E-2
-3.827E-1   8.810E-2
-4.226E-1   1.034E-1
-4.617E-1   1.174E-1
-5.000E-1   1.290E-1
-5.373E-1   1.372E-1
-5.736E-1   1.422E-1
-6.088E-1   1.454E-1
-6.428E-1   1.505E-1
-6.756E-1   1.643E-1
-7.071E-1   1.971E-1
-7.373E-1   2.636E-1
-7.660E-1   3.826E-1
-7.934E-1   5.767E-1
-8.192E-1   8.714E-1
-8.434E-1   1.292E0
-8.660E-1   1.864E0
-8.870E-1   2.603E0
-9.063E-1   3.519E0
-9.239E-1   4.607E0
-9.397E-1   5.846E0
-9.537E-1   7.197E0
-9.659E-1   8.604E0
-9.763E-1   9.995E0
-9.848E-1   1.129E1
-9.914E-1   1.241E1
-9.962E-1   1.327E1
-9.990E-1   1.382E1
-1.000E0    1.400E1
ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 4.500000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     2.024E-3
9.990E-1    2.006E-3
9.962E-1    1.951E-3
9.914E-1    1.865E-3
9.848E-1    1.756E-3
9.763E-1    1.630E-3
9.659E-1    1.499E-3
9.537E-1    1.371E-3
9.397E-1    1.254E-3
9.239E-1    1.154E-3
9.063E-1    1.075E-3
8.870E-1    1.017E-3
8.660E-1    9.786E-4
8.434E-1    9.575E-4
8.192E-1    9.497E-4
7.934E-1    9.521E-4
7.660E-1    9.633E-4
7.373E-1    9.847E-4
7.071E-1    1.021E-3
6.756E-1    1.081E-3
6.428E-1    1.178E-3
6.088E-1    1.326E-3
5.736E-1    1.544E-3
5.373E-1    1.847E-3
5.000E-1    2.250E-3
4.617E-1    2.760E-3
4.226E-1    3.377E-3
3.827E-1    4.091E-3
3.420E-1    4.879E-3
3.007E-1    5.707E-3
2.588E-1    6.532E-3
